timestep,reward,value_loss
48296,965.3167740345341,799.4249274422677
48447,-153.42346072196972,732.2627385625776
48689,-224.15570769310006,717.3457461585683
48931,-224.08911798000344,602.2212472395463
51740,1972.8659461260982,444.63777617077335
52246,-149.77031695842527,260.60838375543887
52506,-225.67332174777994,278.53956482227034
53806,797.1525962114143,226.05868264418382
54727,675.380545735346,239.9779975054448
55423,350.71993935107355,172.54661983457106
55876,130.27056496143035,162.35437070244458
57060,702.67929298876,153.32740294369492
62061,4394.600949788271,935.5994040220886
63431,405.84223506448325,11160.414174847012
63739,-150.2751619338992,20532.213462928674
63898,-134.91774814128877,25536.12159968922
64045,-203.369673705101,15108.284677103264
64156,-160.529225230217,9235.873370196368
64685,114.45369572639544,16547.858592965425
64850,-126.58949687480924,5837.618509188565
64940,-129.23491015434266,17287.28246934679
65168,-105.26003081798481,4442.847292582194
65273,-180.66035726070405,4276.3859136672245
65357,-190.89133994579313,9891.814559936523
65462,-164.290215754509,3781.272774251302
65537,-184.6494167089462,4583.826064453125
65637,-130.31365087032316,3911.7532745361327
65726,-125.33402507305144,8391.030649249473
65806,-185.04769065380094,4983.2974655151365
65892,-190.5473903417587,3507.616090996321
66125,-23.65781791210088,7671.98657567102
66314,-105.5717045545572,11681.838131051845
66433,-116.8693768262862,11617.366443537865
66561,-190.46338994503017,20125.617791175842
66755,-46.395888853072506,4847.455295208803
66902,-203.24472746849057,2073.3016550492266
67122,-53.95090403556745,3279.7535562688654
67288,-114.35924792289708,2785.671677187265
67399,-210.30448234081265,4786.37400061805
67515,-90.41520380973813,1772.1556904233735
67899,-22.413062620161384,3044.3332775036492
68088,-217.50478510856632,6861.121370184358
68715,-115.41188368797191,13054.045379638672
68805,-208.41203048229215,4473.166167534722
69170,-135.3796912670139,8568.074219586098
69476,-179.95824205875363,17255.809190139273
69704,-31.148961973189728,4427.382417109975
70201,87.50562825202542,11003.053166778995
70360,-117.10062401294653,6179.562310752629
71030,50.5164801836047,4704.589563580414
71536,-60.69236385822154,9522.87730287092
71746,-108.73892810344651,12466.291908046178
71926,-116.683377408981,24784.74520823161
72306,-10.435980939864066,5386.16842820017
72666,-177.63745155334428,1806.7785227033828
